Cycle,Action,Distance_or_Angle,Duration,Status
1,Drive,3.0m,10.00s,Success
1,Turn,90°,3.14s,Success
2,Drive,2.5m,8.33s,Success
2,Turn,90°,3.14s,Success
3,Drive,3.0m,10.00s,Success
3,Turn,90°,3.14s,Success
4,Drive,2.5m,8.33s,Success
4,Turn,90°,3.14s,Success
5,Drive,3.0m,10.00s,Success
5,Turn,90°,3.14s,Success
6,Drive,2.5m,8.33s,Success
6,Turn,90°,3.14s,Success
7,Drive,3.0m,10.00s,Success
7,Turn,90°,3.14s,Success
8,Drive,2.5m,8.33s,Success
8,Turn,90°,3.14s,Success
9,Drive,3.0m,10.00s,Success
